scorer,plate,row,column,ROI,,,,,,,,
MG,14.2,A,3,,,,,,,,,
MG,14.2,A,4,19,32,33,,,,,,
MG,14.2,A,5,41,34,23,27,,,,,
MG,14.2,A,6,21,22,25,28,,,,,
MG,14.2,B,1,85,79,84,,,,,,
MG,14.2,B,2,64,72,80,70,,,,,
MG,14.2,B,3,78,,,,,,,,
MG,14.2,B,4,53,66,,,,,,,
MG,14.2,B,5,88,100,96,,,,,,
MG,14.2,B,6,65,76,27,86,89,,,,
MG,14.2,C,1,120,,,,,,,,
MG,14.2,C,2,117,,,,,,,,
MG,14.2,C,3,116,,,,,,,,
MG,14.2,C,4,118,111,114,,,,,,
MG,14.2,C,5,112,,,,,,,,
MG,14.2,C,6,113,107,165,,,,,,
MG,14.2,D,1,138,166,,,,,,,
MG,14.2,D,2,137,,,,,,,,
MG,14.2,D,3,143,,,,,,,,
MG,14.2,D,4,134,,,,,,,,
MG,14.2,D,5,133,141,,,,,,,
MG,14.2,D,6,135,145,144,132,147,,,,
MG,15.1,A,1,21,20,17,,,,,,
MG,15.1,A,2,7,,,,,,,,
MG,15.1,A,3,10,,,,,,,,
MG,15.1,A,4,6,15,14,,,,,,
MG,15.1,A,5,9,13,,,,,,,
MG,15.1,A,6,8,,,,,,,,
MG,15.1,B,1,29,,,,,,,,
MG,15.1,B,2,26,32,,,,,,,
MG,15.1,B,3,25,31,,,,,,,
MG,15.1,B,4,30,,,,,,,,
MG,15.1,B,5,27,,,,,,,,
MG,15.1,B,6,28,24,,,,,,,
MG,15.1,C,1,40,,,,,,,,
MG,15.1,C,2,45,50,,,,,,,
MG,15.1,C,3,33,34,35,36,47,,,,
MG,15.1,C,4,43,,,,,,,,
MG,15.1,C,5,39,44,,,,,,,
MG,15.1,C,6,37,38,42,46,49,48,,,
MG,15.1,D,1,60,67,,,,,,,
MG,15.1,D,2,53,,,,,,,,
MG,15.1,D,3,62,,,,,,,,
MG,15.1,D,4,56,58,63,,,,,,
MG,15.1,D,5,61,54,,,,,,,
MG,15.1,D,6,59,57,55,,,,,,
MG,15.2,A,1,4,9,,,,,,,
MG,15.2,A,2,3,7,,,,,,,
MG,15.2,A,3,8,10,,,,,,,
MG,15.2,A,4,6,,,,,,,,
MG,15.2,A,5,5,,,,,,,,
MG,15.2,A,6,2,,,,,,,,
MG,15.2,B,1,19,,,,,,,,
MG,15.2,B,2,13,21,23,,,,,,
MG,15.2,B,3,22,,,,,,,,
MG,15.2,B,4,16,15,12,11,,,,,
MG,15.2,B,5,18,24,,,,,,,
MG,15.2,B,6,14,17,20,,,,,,
MG,15.2,C,1,43,42,44,,,,,,
MG,15.2,C,2,27,28,39,,,,,,
MG,15.2,C,3,30,36,,,,,,,
MG,15.2,C,4,33,,,,,,,,
MG,15.2,C,5,37,34,,,,,,,
MG,15.2,C,6,29,31,32,35,38,40,,,
MG,15.2,D,1,53,,,,,,,,
MG,15.2,D,2,54,58,60,63,,,,,
MG,15.2,D,3,51,46,,,,,,,
MG,15.2,D,4,57,,,,,,,,
MG,15.2,D,5,47,,,,,,,,
MG,15.2,D,6,49,48,50,55,52,56,59,62,64
MG,16.1,A,1,20,18,19,23,,,,,
MG,16.1,A,2,16,,,,,,,,
MG,16.1,A,3,25,,,,,,,,
MG,16.1,A,4,26,,,,,,,,
MG,16.1,A,5,24,,,,,,,,
MG,16.1,A,6,17,,,,,,,,
MG,16.1,B,1,36,,,,,,,,
MG,16.1,B,2,32,,,,,,,,
MG,16.1,B,3,33,35,,,,,,,
MG,16.1,B,4,34,,,,,,,,
MG,16.1,B,5,31,,,,,,,,
MG,16.1,B,6,30,,,,,,,,
MG,16.1,C,1,53,,,,,,,,
MG,16.1,C,2,52,59,,,,,,,
MG,16.1,C,3,44,47,50,55,,,,,
MG,16.1,C,4,43,58,63,92,,,,,
MG,16.1,C,5,49,48,,,,,,,
MG,16.1,C,6,45,,,,,,,,
MG,16.1,D,1,85,88,,,,,,,
MG,16.1,D,2,80,,,,,,,,
MG,16.1,D,3,83,87,,,,,,,
MG,16.1,D,4,75,77,76,,,,,,
MG,16.1,D,5,81,84,78,,,,,,
MG,16.1,D,6,82,86,,,,,,,
MG,16.2,A,1,10,,,,,,,,
MG,16.2,A,2,5,,,,,,,,
MG,16.2,A,3,15,14,,,,,,,
MG,16.2,A,4,11,,,,,,,,
MG,16.2,A,5,17,21,,,,,,,
MG,16.2,A,6,7,8,13,,,,,,
MG,16.2,B,1,37,,,,,,,,
MG,16.2,B,2,31,39,,,,,,,
MG,16.2,B,3,35,28,27,,,,,,
MG,16.2,B,4,85,,,,,,,,
MG,16.2,B,5,34,,,,,,,,
MG,16.2,B,6,30,,,,,,,,
MG,16.2,C,1,46,,,,,,,,
MG,16.2,C,2,44,41,,,,,,,
MG,16.2,C,3,51,54,53,56,58,59,,,
MG,16.2,C,4,52,60,86,,,,,,
MG,16.2,C,5,48,49,,,,,,,
MG,16.2,C,6,45,87,,,,,,,
MG,16.2,D,1,79,82,,,,,,,
MG,16.2,D,2,76,,,,,,,,
MG,16.2,D,3,75,80,83,,,,,,
MG,16.2,D,4,73,,,,,,,,
MG,16.2,D,5,78,74,,,,,,,
MG,16.2,D,6,77,,,,,,,,
MG,17.1,A,1,22,20,,,,,,,
MG,17.1,A,2,14,15,,,,,,,
MG,17.1,A,3,12,23,,,,,,,
MG,17.1,A,4,10,,,,,,,,
MG,17.1,A,5,11,17,,,,,,,
MG,17.1,A,6,13,18,16,,,,,,
MG,17.1,B,1,29,27,,,,,,,
MG,17.1,B,2,24,,,,,,,,
MG,17.1,B,3,31,37,30,43,,,,,
MG,17.1,B,4,26,44,34,28,35,33,,,
MG,17.1,B,5,25,41,36,38,39,42,45,,
MG,17.1,B,6,32,,,,,,,,
MG,17.1,C,1,52,55,57,,,,,,
MG,17.1,C,2,59,60,62,66,67,,,,
MG,17.1,C,3,53,61,65,64,,,,,
MG,17.1,C,4,58,,,,,,,,
MG,17.1,C,5,51,,,,,,,,
MG,17.1,C,6,54,,,,,,,,
MG,17.1,D,1,78,,,,,,,,
MG,17.1,D,2,70,74,,,,,,,
MG,17.1,D,3,69,71,,,,,,,
MG,17.1,D,4,68,73,,,,,,,
MG,17.1,D,5,72,76,,,,,,,
MG,17.1,D,6,75,,,,,,,,
MG,17.2,A,1,7,10,12,,,,,,
MG,17.2,A,2,3,9,,,,,,,
MG,17.2,A,3,4,,,,,,,,
MG,17.2,A,4,1,6,,,,,,,
MG,17.2,A,5,5,8,,,,,,,
MG,17.2,A,6,11,,,,,,,,
MG,17.2,B,1,28,,,,,,,,
MG,17.2,B,2,25,,,,,,,,
MG,17.2,B,3,24,21,26,32,29,,,,
MG,17.2,B,4,27,31,30,33,,,,,
MG,17.2,B,5,19,17,18,22,23,,,,
MG,17.2,B,6,16,,,,,,,,
MG,17.2,C,1,49,,,,,,,,
MG,17.2,C,2,42,,,,,,,,
MG,17.2,C,3,46,,,,,,,,
MG,17.2,C,4,43,48,,,,,,,
MG,17.2,C,5,40,,,,,,,,
MG,17.2,C,6,45,,,,,,,,
MG,17.2,D,1,65,70,68,71,,,,,
MG,17.2,D,2,63,,,,,,,,
MG,17.2,D,3,66,,,,,,,,
MG,17.2,D,4,56,60,85,,,,,,
MG,17.2,D,5,58,,,,,,,,
MG,17.2,D,6,61,,,,,,,,
MG,18.1,A,1,14,,,,,,,,
MG,18.1,A,2,18,,,,,,,,
MG,18.1,A,3,22,20,21,16,,,,,
MG,18.1,A,4,12,,,,,,,,
MG,18.1,A,5,15,,,,,,,,
MG,18.1,A,6,10,17,23,,,,,,
MG,18.1,B,1,32,,,,,,,,
MG,18.1,B,2,30,34,,,,,,,
MG,18.1,B,3,31,33,35,,,,,,
MG,18.1,B,4,28,,,,,,,,
MG,18.1,B,5,29,37,36,41,,,,,
MG,18.1,B,6,24,38,40,39,42,,,,
MG,18.1,C,1,52,,,,,,,,
MG,18.1,C,2,50,64,66,47,48,107,,,
MG,18.1,C,3,58,59,,,,,,,
MG,18.1,C,4,57,,,,,,,,
MG,18.1,C,5,56,,,,,,,,
