plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
8.I,A,1,Wld,B,+,0,,2,3,3,5,3,4,,
8.I,A,2,HBE,B,+,0,,2,4,7,5,6,4,,
8.I,A,3,RdM,B,+,0,,2,2,4,4,5,5,,
8.I,A,4,Dhl,B,+,0,,2,2,4,2,4,2,,
8.I,A,5,Lyt,B,+,0,,3,3,3,4,7,8,,
8.I,A,6,Cmb,B,+,0,,2,2,4,4,3,3,,
8.I,B,1,Wld,B,-,S,,2,2,3,4,4,4,,
8.I,B,2,HBE,B,-,S,,2,3,5,7,6,6,,
8.I,B,3,RdM,B,-,S,,3,4,4,4,5,6,,
8.I,B,4,Dhl,B,-,S,,2,2,3,2,2,2,,
8.I,B,5,Lyt,B,-,S,,2,2,3,4,7,7,,
8.I,B,6,Cmb,B,-,S,,2,2,3,4,5,4,,
8.I,C,1,Wld,0,-,0,,3,2,2,3,4,4,,
8.I,C,2,HBE,0,-,0,,2,4,4,6,7,7,,
8.I,C,3,RdM,0,-,0,,3,3,3,2,2,2,,
8.I,C,4,Dhl,0,-,0,,2,2,2,2,3,2,,
8.I,C,5,Lyt,0,-,0,,2,2,3,4,4,9,,
8.I,C,6,Cmb,0,-,0,,2,2,3,3,4,5,,
8.I,D,1,Wld,0,-,S,,2,2,2,3,3,4,,
8.I,D,2,HBE,0,-,S,,3,2,2,2,3,4,,
8.I,D,3,RdM,0,-,S,,2,2,2,5,4,6,,
8.I,D,4,Dhl,0,-,S,,2,3,3,3,3,2,,
8.I,D,5,Lyt,0,-,S,,2,2,4,4,6,11,,
8.I,D,6,Cmb,0,-,S,,2,2,3,5,5,8,,
8.II,A,1,Wld,0,+,S,,1,2,1,1,1,1,,
8.II,A,2,HBE,0,+,S,,3,3,3,3,3,5,,
8.II,A,3,RdM,0,+,S,,1,2,2,4,4,4,,
8.II,A,4,Dhl,0,+,S,,2,2,2,3,2,2,,
8.II,A,5,Lyt,0,+,S,,2,2,2,5,7,7,,
8.II,A,6,Cmb,0,+,S,,1,2,2,4,3,4,,
8.II,B,1,Wld,B,+,S,,2,2,3,4,4,4,,
8.II,B,2,HBE,B,+,S,,2,2,1,2,2,2,,
8.II,B,3,RdM,B,+,S,,2,3,3,4,4,3,,
8.II,B,4,Dhl,B,+,S,,3,4,4,5,4,3,,
8.II,B,5,Lyt,B,+,S,,1,2,3,4,6,9,,
8.II,B,6,Cmb,B,+,S,,2,2,2,2,3,3,,
8.II,C,1,Wld,0,+,0,,1,2,2,2,3,2,,
8.II,C,2,HBE,0,+,0,,2,3,2,2,3,3,,
8.II,C,3,RdM,0,+,0,,3,4,5,4,4,6,,
8.II,C,4,Dhl,0,+,0,,2,2,4,4,4,4,,
8.II,C,5,Lyt,0,+,0,,3,4,5,6,6,10,,
8.II,C,6,Cmb,0,+,0,,3,2,4,4,4,4,,
8.II,D,1,Wld,B,-,0,,2,4,4,5,5,5,,
8.II,D,2,HBE,B,-,0,,3,2,4,4,6,5,,
8.II,D,3,RdM,B,-,0,,2,2,4,4,9,9,,
8.II,D,4,Dhl,B,-,0,,2,4,3,4,4,5,,
8.II,D,5,Lyt,B,-,0,,2,3,2,4,5,7,,
8.II,D,6,Cmb,B,-,0,,1,2,2,4,7,7,,
9.I,A,1,AjW,B,+,S,,2,2,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,2,Cdv,B,+,S,,1,2,2,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.I,A,3,Mck,B,+,S,,2,2,2,2,2,2,,col order of entire plate changed from original design due to error and swap correction
9.I,A,4,Mck,B,+,S,,3,3,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,5,Stn,B,+,S,,2,2,2,2,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,A,6,Lgy,B,+,S,,2,2,4,4,5,5,,col order of entire plate changed from original design due to error and swap correction
9.I,B,1,AjW,B,-,0,,4,4,4,6,7,7,,col order of entire plate changed from original design due to error and swap correction
9.I,B,2,Cdv,B,-,0,,2,2,1,1,1,1,,col order of entire plate changed from original design due to error and swap correction
9.I,B,3,Mck,B,-,0,,1,2,2,4,4,4,,col order of entire plate changed from original design due to error and swap correction
9.I,B,4,Mck,B,-,0,,2,2,3,3,2,3,,col order of entire plate changed from original design due to error and swap correction
9.I,B,5,Stn,B,-,0,,2,2,4,5,4,6,,col order of entire plate changed from original design due to error and swap correction
9.I,B,6,Lgy,B,-,0,,2,2,2,3,3,3,,col order of entire plate changed from original design due to error and swap correction
9.I,C,1,AjW,0,-,S,,4,4,3,3,3,4,,col order of entire plate changed from original design due to error and swap correction
9.I,C,2,Cdv,0,-,S,,2,2,3,3,6,6,,col order of entire plate changed from original design due to error and swap correction
9.I,C,3,Mck,0,-,S,,2,2,4,4,4,6,,col order of entire plate changed from original design due to error and swap correction
