notes,collector,plate,row,column,ROI,,,,,,,,,
,DL,9.2,B,3,146,135,,,,,,,,
,DL,9.2,B,2,148,152,154,,,,,,,
,DL,9.2,B,1,218,129,,,,,,,,
,DL,9.2,A,6,219,,,,,,,,,
,DL,9.2,A,5,171,176,196,,,,,,,
,DL,9.2,A,4,194,,,,,,,,,
,DL,9.2,A,3,199,,,,,,,,,
,DL,9.2,A,2,172,173,182,190,191,203,,,,
,DL,9.2,A,1,220,,,,,,,,,
,DL,10.1,D,6,2,4,6,9,21,23,,,,
,DL,10.1,D,5,7,12,16,33,,,,,,
,DL,10.1,D,4,13,14,17,18,25,,,,,
,DL,10.1,D,3,11,15,,,,,,,,
,DL,10.1,D,2,8,20,22,24,30,27,,,,
,DL,10.1,D,1,10,,,,,,,,,
,DL,10.1,C,6,36,55,57,,,,,,,
,DL,10.1,C,5,44,46,,,,,,,,
,DL,10.1,C,4,49,48,,,,,,,,
,DL,10.1,C,3,47,54,53,,,,,,,
,DL,10.1,C,2,43,52,58,,,,,,,
,DL,10.1,C,1,60,,,,,,,,,
,DL,10.1,B,6,83,75,,,,,,,,
,DL,10.1,B,5,79,85,,,,,,,,
,DL,10.1,B,4,66,88,92,,,,,,,
,DL,10.1,B,3,76,78,,,,,,,,
,DL,10.1,B,2,77,81,86,87,91,,,,,
,DL,10.1,B,1,71,80,,,,,,,,
,DL,10.1,A,6,113,,,,,,,,,
,DL,10.1,A,5,134,99,102,107,108,,,,,
,DL,10.1,A,4,109,114,117,120,121,,,,,
,DL,10.1,A,3,101,105,115,,,,,,,
,DL,10.1,A,2,97,110,116,118,124,,,,,
,DL,10.1,A,1,104,106,112,119,,,,,,
,DL,10.2,D,6,4,7,11,,,,,,,
,DL,10.2,D,5,3,,,,,,,,,
,DL,10.2,D,4,13,18,21,25,,,,,,
,DL,10.2,D,3,17,15,23,6,,,,,,
,DL,10.2,D,2,8,12,10,20,24,26,,,,
,DL,10.2,D,1,16,,,,,,,,,
,DL,10.2,C,6,40,42,55,66,,,,,,
,DL,10.2,C,5,48,50,59,54,,,,,,
,DL,10.2,C,4,39,45,52,57,44,46,,,,
,DL,10.2,C,3,51,49,60,63,65,61,,,,
,DL,10.2,C,2,47,58,62,64,,,,,,
,DL,10.2,C,1,38,43,56,,,,,,,
,DL,10.2,B,6,75,80,,,,,,,,
,DL,10.2,B,5,86,,,,,,,,,
,DL,10.2,B,4,82,84,89,91,,,,,,
,DL,10.2,B,3,78,83,88,87,94,,,,,
,DL,10.2,B,2,77,74,81,79,,,,,,
,DL,10.2,B,1,93,90,,,,,,,,
,DL,10.2,A,6,108,112,129,,,,,,,
,DL,10.2,A,5,99,126,141,,,,,,,
,DL,10.2,A,4,111,115,117,116,109,118,123,,,
,DL,10.2,A,3,106,122,119,,,,,,,
,DL,10.2,A,2,101,121,,,,,,,,
,DL,10.2,A,1,120,,,,,,,,,
,DL,11.1,D,6,4,5,8,9,,,,,,
,DL,11.1,D,5,,,,,,,,,,
,DL,11.1,D,4,10,,,,,,,,,
,DL,11.1,D,3,15,16,24,,,,,,,
,DL,11.1,D,2,11,,,,,,,,,
,DL,11.1,D,1,13,14,,,,,,,,
,DL,11.1,C,6,31,45,28,36,,,,,,
,DL,11.1,C,5,40,39,32,33,,,,,,
,DL,11.1,C,4,,,,,,,,,,
,DL,11.1,C,3,,,,,,,,,,
,DL,11.1,C,2,25,29,35,43,42,51,,,,
,DL,11.1,C,1,26,34,27,30,,,,,,
,DL,11.1,B,6,55,62,70,66,,,,,,
,DL,11.1,B,5,71,,,,,,,,,
,DL,11.1,B,4,73,,,,,,,,,
,DL,11.1,B,3,77,,,,,,,,,
,DL,11.1,B,2,56,61,64,72,65,,,,,
,DL,11.1,B,1,58,63,69,67,75,,,,,
,DL,11.1,A,6,82,83,100,99,107,97,,,,
,DL,11.1,A,5,88,89,124,,,,,,,
,DL,11.1,A,4,98,93,103,101,,,,,,
,DL,11.1,A,3,94,,,,,,,,,
,DL,11.1,A,2,90,95,102,109,,,,,,
,DL,11.1,A,1,85,87,104,,,,,,,
,DL,11.2,D,6,3,6,8,13,15,16,20,,,
,DL,11.2,D,5,27,,,,,,,,,
,DL,11.2,D,4,12,1,,,,,,,,
,DL,11.2,D,3,4,9,21,23,,,,,,
,DL,11.2,D,2,22,28,29,,,,,,,
,DL,11.2,D,1,7,11,17,18,24,31,32,33,34,
,DL,11.2,C,6,36,41,42,39,,,,,,
,DL,11.2,C,5,38,46,40,55,,,,,,
,DL,11.2,C,4,50,47,53,52,,,,,,
,DL,11.2,C,3,119,,,,,,,,,
,DL,11.2,C,2,37,43,45,48,,,,,,
,DL,11.2,C,1,44,51,,,,,,,,
,DL,11.2,B,6,72,65,64,78,,,,,,
,DL,11.2,B,5,79,57,,,,,,,,
,DL,11.2,B,4,63,68,74,,,,,,,
,DL,11.2,B,3,61,,,,,,,,,
,DL,11.2,B,2,73,60,66,71,,,,,,
,DL,11.2,B,1,70,67,62,69,75,,,,,
,DL,11.2,A,6,88,87,92,93,95,,,,,
,DL,11.2,A,5,120,121,122,,,,,,,
,DL,11.2,A,4,97,,,,,,,,,
,DL,11.2,A,3,81,,,,,,,,,
,DL,11.2,A,2,98,104,,,,,,,,
,DL,11.2,A,1,83,90,96,110,,,,,,
,DL,12.1,D,6,194,,,,,,,,,
,DL,12.1,D,5,22,,,,,,,,,
,DL,12.1,D,4,31,,,,,,,,,
,DL,12.1,D,3,9,13,15,21,29,34,36,67,44,
,DL,12.1,D,2,32,26,35,,,,,,,
,DL,12.1,D,1,,,,,,,,,,
,DL,12.1,C,6,52,,,,,,,,,
