notes,Scorer,plate,row,column,ROI,,,,,,,,,,,,,,
,MG,6.2,B,3,49,58,,,,,,,,,,,,,
,MG,6.2,B,4,51,,,,,,,,,,,,,,
,MG,6.2,B,5,57,53,,,,,,,,,,,,,
,MG,6.2,B,6,45,,,,,,,,,,,,,,
,MG,6.2,C,1,93,97,101,166,,,,,,,,,,,
,MG,6.2,C,2,80,89,102,,,,,,,,,,,,
,MG,6.2,C,3,86,,,,,,,,,,,,,,
,MG,6.2,C,4,90,84,85,,,,,,,,,,,,
,MG,6.2,C,5,92,94,99,98,,,,,,,,,,,
,MG,6.2,C,6,91,87,167,,,,,,,,,,,,
,MG,6.2,D,1,168,,,,,,,,,,,,,,
,MG,6.2,D,2,118,116,131,,,,,,,,,,,,
,MG,6.2,D,3,122,,,,,,,,,,,,,,
,MG,6.2,D,4,115,120,119,,,,,,,,,,,,
,MG,6.2,D,5,113,,,,,,,,,,,,,,
,MG,6.2,D,6,125,114,,,,,,,,,,,,,
,MG,7.1,A,1,21,,,,,,,,,,,,,,
,MG,7.1,A,2,17,35,33,38,39,,,,,,,,,,
,MG,7.1,A,3,40,28,34,,,,,,,,,,,,
,MG,7.1,A,4,25,30,,,,,,,,,,,,,
,MG,7.1,A,5,1,,,,,,,,,,,,,,
,MG,7.1,A,6,22,,,,,,,,,,,,,,
,MG,7.1,B,1,70,65,80,,,,,,,,,,,,
,MG,7.1,B,2,60,64,,,,,,,,,,,,,
,MG,7.1,B,3,59,73,,,,,,,,,,,,,
,MG,7.1,B,4,67,63,,,,,,,,,,,,,
,MG,7.1,B,5,66,61,,,,,,,,,,,,,
,MG,7.1,B,6,62,71,81,,,,,,,,,,,,
,MG,7.1,C,1,84,89,,,,,,,,,,,,,
,MG,7.1,C,2,92,,,,,,,,,,,,,,
,MG,7.1,C,3,87,95,,,,,,,,,,,,,
,MG,7.1,C,4,98,,,,,,,,,,,,,,
,MG,7.1,C,5,90,88,85,,,,,,,,,,,,
,MG,7.1,C,6,105,106,,,,,,,,,,,,,
,MG,7.1,D,1,117,132,143,121,120,125,,,,,,,,,
,MG,7.1,D,2,126,131,136,139,,,,,,,,,,,
,MG,7.1,D,3,135,160,,,,,,,,,,,,,
,MG,7.1,D,4,145,,,,,,,,,,,,,,
,MG,7.1,D,5,128,,,,,,,,,,,,,,
,MG,7.1,D,6,116,,,,,,,,,,,,,,
,MG,7.2,A,1,56,,,,,,,,,,,,,,
,MG,7.2,A,2,45,48,60,53,55,,,,,,,,,,
,MG,7.2,A,3,36,39,70,,,,,,,,,,,,
,MG,7.2,A,4,33,,,,,,,,,,,,,,
,MG,7.2,A,5,2,38,,,,,,,,,,,,,
,MG,7.2,A,6,65,,,,,,,,,,,,,,
,MG,7.2,B,1,102,101,106,109,,,,,,,,,,,
,MG,7.2,B,2,97,110,,,,,,,,,,,,,
,MG,7.2,B,3,95,,,,,,,,,,,,,,
,MG,7.2,B,4,105,108,111,,,,,,,,,,,,
,MG,7.2,B,5,92,,,,,,,,,,,,,,
,MG,7.2,B,6,112,,,,,,,,,,,,,,
,MG,7.2,C,1,146,161,,,,,,,,,,,,,
,MG,7.2,C,2,136,143,157,,,,,,,,,,,,
,MG,7.2,C,3,145,154,,,,,,,,,,,,,
,MG,7.2,C,4,149,,,,,,,,,,,,,,
,MG,7.2,C,5,152,158,159,,,,,,,,,,,,
,MG,7.2,C,6,140,,,,,,,,,,,,,,
,MG,7.2,D,1,180,,,,,,,,,,,,,,
,MG,7.2,D,2,181,198,,,,,,,,,,,,,
,MG,7.2,D,3,182,174,185,,,,,,,,,,,,
,MG,7.2,D,4,188,196,,,,,,,,,,,,,
,MG,7.2,D,5,178,,,,,,,,,,,,,,
,MG,7.2,D,6,183,168,,,,,,,,,,,,,
,MG,8.1,A,1,13,19,,,,,,,,,,,,,
,MG,8.1,A,2,17,22,29,31,,,,,,,,,,,
,MG,8.1,A,3,20,28,,,,,,,,,,,,,
,MG,8.1,A,4,3,26,25,,,,,,,,,,,,
,MG,8.1,A,5,18,,,,,,,,,,,,,,
,MG,8.1,A,6,15,23,,,,,,,,,,,,,
,MG,8.1,B,1,47,,,,,,,,,,,,,,
,MG,8.1,B,2,40,41,48,,,,,,,,,,,,
,MG,8.1,B,3,43,38,53,49,,,,,,,,,,,
,MG,8.1,B,4,44,46,,,,,,,,,,,,,
,MG,8.1,B,5,51,,,,,,,,,,,,,,
,MG,8.1,B,6,45,50,,,,,,,,,,,,,
,MG,8.1,C,1,63,67,87,,,,,,,,,,,,
,MG,8.1,C,2,78,83,82,,,,,,,,,,,,
,MG,8.1,C,3,68,71,59,58,,,,,,,,,,,
,MG,8.1,C,4,70,72,,,,,,,,,,,,,
,MG,8.1,C,5,76,75,,,,,,,,,,,,,
,MG,8.1,C,6,74,77,81,,,,,,,,,,,,
,MG,8.1,D,1,108,,,,,,,,,,,,,,
,MG,8.1,D,2,107,110,112,,,,,,,,,,,,
,MG,8.1,D,3,99,98,,,,,,,,,,,,,
,MG,8.1,D,4,100,103,,,,,,,,,,,,,
,MG,8.1,D,5,95,119,,,,,,,,,,,,,
,MG,8.1,D,6,101,105,,,,,,,,,,,,,
,MG,8.2,A,1,16,,,,,,,,,,,,,,
,MG,8.2,A,2,7,14,11,,,,,,,,,,,,
,MG,8.2,A,3,10,,,,,,,,,,,,,,
,MG,8.2,A,4,9,,,,,,,,,,,,,,
,MG,8.2,A,5,8,,,,,,,,,,,,,,
,MG,8.2,A,6,12,13,,,,,,,,,,,,,
,MG,8.2,B,1,36,,,,,,,,,,,,,,
,MG,8.2,B,2,26,35,34,41,,,,,,,,,,,
,MG,8.2,B,3,40,37,49,,,,,,,,,,,,
,MG,8.2,B,4,32,33,,,,,,,,,,,,,
,MG,8.2,B,5,31,,,,,,,,,,,,,,
,MG,8.2,B,6,39,141,,,,,,,,,,,,,
,MG,8.2,C,1,74,82,81,,,,,,,,,,,,
,MG,8.2,C,2,64,79,78,,,,,,,,,,,,
,MG,8.2,C,3,67,,,,,,,,,,,,,,
,MG,8.2,C,4,70,,,,,,,,,,,,,,
,MG,8.2,C,5,59,69,72,,,,,,,,,,,,
,MG,8.2,C,6,65,76,,,,,,,,,,,,,
,MG,8.2,D,1,108,109,115,118,,,,,,,,,,,
,MG,8.2,D,2,97,103,105,101,96,100,142,,,,,,,,
,MG,8.2,D,3,111,116,,,,,,,,,,,,,
,MG,8.2,D,4,94,,,,,,,,,,,,,,
,MG,8.2,D,5,110,95,119,126,,,,,,,,,,,
,MG,8.2,D,6,106,113,,,,,,,,,,,,,
,MG,9.1,A,1,13,14,,,,,,,,,,,,,
,MG,9.1,A,2,8,10,,,,,,,,,,,,,
,MG,9.1,A,3,12,,,,,,,,,,,,,,
,MG,9.1,A,4,9,18,15,,,,,,,,,,,,
,MG,9.1,A,5,11,,,,,,,,,,,,,,
,MG,9.1,A,6,16,19,,,,,,,,,,,,,
,MG,9.1,B,1,42,38,146,,,,,,,,,,,,
,MG,9.1,B,2,40,,,,,,,,,,,,,,
,MG,9.1,B,3,37,,,,,,,,,,,,,,
,MG,9.1,B,4,44,52,55,,,,,,,,,,,,
,MG,9.1,B,5,28,36,50,,,,,,,,,,,,
,MG,9.1,B,6,39,,,,,,,,,,,,,,
,MG,9.1,C,1,69,147,,,,,,,,,,,,,
,MG,9.1,C,2,76,97,,,,,,,,,,,,,
,MG,9.1,C,3,94,93,89,73,74,75,,,,,,,,,
,MG,9.1,C,4,66,,,,,,,,,,,,,,
,MG,9.1,C,5,81,,,,,,,,,,,,,,
,MG,9.1,C,6,148,,,,,,,,,,,,,,
,MG,9.1,D,1,124,149,,,,,,,,,,,,,
,MG,9.1,D,2,121,136,150,,,,,,,,,,,,
,MG,9.1,D,3,151,152,,,,,,,,,,,,,
,MG,9.1,D,4,123,120,131,,,,,,,,,,,,
,MG,9.1,D,5,137,,,,,,,,,,,,,,
,MG,9.1,D,6,153,154,,,,,,,,,,,,,
,MG,9.2,A,1,17,147,148,,,,,,,,,,,,
,MG,9.2,A,2,24,27,,,,,,,,,,,,,
,MG,9.2,A,3,28,,,,,,,,,,,,,,
,MG,9.2,A,4,7,,,,,,,,,,,,,,
,MG,9.2,A,5,14,3,,,,,,,,,,,,,
,MG,9.2,A,6,26,25,,,,,,,,,,,,,
,MG,9.2,B,1,44,55,,,,,,,,,,,,,
,MG,9.2,B,2,38,36,,,,,,,,,,,,,
,MG,9.2,B,3,50,56,,,,,,,,,,,,,
,MG,9.2,B,4,51,,,,,,,,,,,,,,
,MG,9.2,B,5,39,,,,,,,,,,,,,,
,MG,9.2,B,6,52,54,,,,,,,,,,,,,
,MG,9.2,C,1,73,76,149,,,,,,,,,,,,
,MG,9.2,C,2,82,,,,,,,,,,,,,,
,MG,9.2,C,3,80,,,,,,,,,,,,,,
,MG,9.2,C,4,79,,,,,,,,,,,,,,
,MG,9.2,C,5,83,72,,,,,,,,,,,,,
,MG,9.2,C,6,150,,,,,,,,,,,,,,
,MG,9.2,D,1,117,151,,,,,,,,,,,,,
