collector,plate,row,column,ROI,,,,,,,,,,
SP,38.2,A,2,7,,,,,,,,,,
SP,38.2,A,1,9,5,,,,,,,,,
SP,39.1,D,6,51,49,55,,,,,,,,
SP,39.1,D,5,50,57,,,,,,,,,
SP,39.1,D,4,47,53,,,,,,,,,
SP,39.1,D,3,48,58,,,,,,,,,
SP,39.1,D,2,52,,,,,,,,,,
SP,39.1,D,1,56,54,,,,,,,,,
SP,39.1,C,6,32,35,40,,,,,,,,
SP,39.1,C,5,36,42,,,,,,,,,
SP,39.1,C,4,43,,,,,,,,,,
SP,39.1,C,3,33,,,,,,,,,,
SP,39.1,C,2,39,41,44,34,45,,,,,,
SP,39.1,C,1,38,37,,,,,,,,,
SP,39.1,B,6,21,29,,,,,,,,,
SP,39.1,B,5,28,18,,,,,,,,,
SP,39.1,B,4,23,,,,,,,,,,
SP,39.1,B,3,22,19,,,,,,,,,
SP,39.1,B,2,20,27,,,,,,,,,
SP,39.1,B,1,26,24,,,,,,,,,
SP,39.1,A,6,8,5,10,,,,,,,,
SP,39.1,A,5,4,11,2,,,,,,,,
SP,39.1,A,4,3,,,,,,,,,,
SP,39.1,A,3,12,7,13,,,,,,,,
SP,39.1,A,2,9,16,,,,,,,,,
SP,39.1,A,1,6,14,,,,,,,,,
SP,39.2,D,6,42,,,,,,,,,,
SP,39.2,D,5,44,39,,,,,,,,,
SP,39.2,D,4,40,,,,,,,,,,
SP,39.2,D,3,43,,,,,,,,,,
SP,39.2,D,2,38,,,,,,,,,,
SP,39.2,D,1,41,45,,,,,,,,,
SP,39.2,C,6,30,32,,,,,,,,,
SP,39.2,C,5,35,,,,,,,,,,
SP,39.2,C,4,34,29,,,,,,,,,
SP,39.2,C,3,37,36,,,,,,,,,
SP,39.2,C,2,33,,,,,,,,,,
SP,39.2,C,1,31,,,,,,,,,,
SP,39.2,B,6,17,26,,,,,,,,,
SP,39.2,B,5,20,21,,,,,,,,,
SP,39.2,B,4,23,,,,,,,,,,
SP,39.2,B,3,27,,,,,,,,,,
SP,39.2,B,2,15,16,24,28,,,,,,,
SP,39.2,B,1,19,22,,,,,,,,,
SP,39.2,A,6,10,5,,,,,,,,,
SP,39.2,A,5,11,3,,,,,,,,,
SP,39.2,A,4,9,13,,,,,,,,,
SP,39.2,A,3,7,,,,,,,,,,
SP,39.2,A,2,8,,,,,,,,,,
SP,39.2,A,1,6,12,14,,,,,,,,
SP,40.1,D,6,52,58,,,,,,,,,
SP,40.1,D,5,56,51,,,,,,,,,
SP,40.1,D,4,53,49,,,,,,,,,
SP,40.1,D,3,50,,,,,,,,,,
SP,40.1,D,2,46,47,55,,,,,,,,
SP,40.1,D,1,48,54,,,,,,,,,
SP,40.1,C,6,34,38,45,,,,,,,,
SP,40.1,C,5,35,,,,,,,,,,
SP,40.1,C,4,40,42,,,,,,,,,
SP,40.1,C,3,NA,,,,,,,,,,
SP,40.1,C,2,36,41,44,,,,,,,,
SP,40.1,C,1,33,37,43,,,,,,,,
SP,40.1,B,6,22,24,31,20,,,,,,,
SP,40.1,B,5,21,,,,,,,,,,
SP,40.1,B,4,27,,,,,,,,,,
SP,40.1,B,3,23,29,,,,,,,,,
SP,40.1,B,2,28,,,,,,,,,,
SP,40.1,B,1,25,26,,,,,,,,,
SP,40.1,A,6,9,16,,,,,,,,,
SP,40.1,A,5,3,12,,,,,,,,,
SP,40.1,A,4,17,4,,,,,,,,,
SP,40.1,A,3,8,11,14,,,,,,,,
SP,40.1,A,2,5,,,,,,,,,,
SP,40.1,A,1,2,13,,,,,,,,,
SP,40.2,D,6,34,,,,,,,,,,
SP,40.2,D,5,38,35,,,,,,,,,
SP,40.2,D,4,44,,,,,,,,,,
SP,40.2,D,3,36,45,43,,,,,,,,
SP,40.2,D,2,46,42,,,,,,,,,
SP,40.2,D,1,37,33,,,,,,,,,
SP,40.2,C,6,25,,,,,,,,,,
SP,40.2,C,5,29,27,,,,,,,,,
SP,40.2,C,4,24,,,,,,,,,,
SP,40.2,C,3,22,,,,,,,,,,
SP,40.2,C,2,30,,,,,,,,,,
SP,40.2,C,1,23,28,,,,,,,,,
SP,40.2,B,6,16,20,,,,,,,,,
SP,40.2,B,5,18,,,,,,,,,,
SP,40.2,B,4,NA,,,,,,,,,,
SP,40.2,B,3,15,,,,,,,,,,
SP,40.2,B,2,14,,,,,,,,,,
SP,40.2,B,1,13,17,,,,,,,,,
SP,40.2,A,6,6,,,,,,,,,,
SP,40.2,A,5,3,,,,,,,,,,
SP,40.2,A,4,11,12,,,,,,,,,
SP,40.2,A,3,4,8,,,,,,,,,
SP,40.2,A,2,5,,,,,,,,,,
SP,40.2,A,1,2,7,9,,,,,,,,
SP,41.1,D,6,48,,,,,,,,,,
SP,41.1,D,5,45,51,,,,,,,,,
SP,41.1,D,4,49,,,,,,,,,,
SP,41.1,D,3,52,,,,,,,,,,
SP,41.1,D,2,46,54,,,,,,,,,
SP,41.1,D,1,50,47,,,,,,,,,
SP,41.1,C,6,36,41,,,,,,,,,
SP,41.1,C,5,31,40,,,,,,,,,
SP,41.1,C,4,33,43,39,,,,,,,,
SP,41.1,C,3,38,,,,,,,,,,
SP,41.1,C,2,34,42,,,,,,,,,
SP,41.1,C,1,29,32,,,,,,,,,
SP,41.1,B,6,22,23,,,,,,,,,
SP,41.1,B,5,18,25,,,,,,,,,
SP,41.1,B,4,15,27,,,,,,,,,
SP,41.1,B,3,20,21,,,,,,,,,
SP,41.1,B,2,19,24,28,,,,,,,,
SP,41.1,B,1,16,,,,,,,,,,
SP,41.1,A,6,4,8,9,14,,,,,,,
SP,41.1,A,5,5,10,,,,,,,,,
SP,41.1,A,4,2,11,,,,,,,,,
SP,41.1,A,3,1,7,,,,,,,,,
SP,41.1,A,2,12,13,,,,,,,,,
SP,41.1,A,1,3,6,,,,,,,,,
SP,41.2,D,6,45,50,,,,,,,,,
SP,41.2,D,5,42,49,,,,,,,,,
SP,41.2,D,4,41,46,47,,,,,,,,
SP,41.2,D,3,40,48,,,,,,,,,
SP,41.2,D,2,44,43,,,,,,,,,
SP,41.2,D,1,39,,,,,,,,,,
SP,41.2,C,6,30,38,,,,,,,,,
SP,41.2,C,5,33,,,,,,,,,,
SP,41.2,C,4,34,,,,,,,,,,
SP,41.2,C,3,31,36,,,,,,,,,
SP,41.2,C,2,28,35,,,,,,,,,
SP,41.2,C,1,29,,,,,,,,,,
SP,41.2,B,6,22,23,,,,,,,,,
SP,41.2,B,5,19,25,24,,,,,,,,
SP,41.2,B,4,16,21,,,,,,,,,
SP,41.2,B,3,20,18,,,,,,,,,
SP,41.2,B,2,13,15,,,,,,,,,
SP,41.2,B,1,17,14,,,,,,,,,
SP,41.2,A,6,9,10,,,,,,,,,
SP,41.2,A,5,12,6,,,,,,,,,
SP,41.2,A,4,7,,,,,,,,,,
SP,41.2,A,3,3,11,,,,,,,,,
SP,41.2,A,2,2,8,5,,,,,,,,
SP,41.2,A,1,4,,,,,,,,,,
SP,42.1,D,6,48,53,,,,,,,,,
SP,42.1,D,5,57,,,,,,,,,,
SP,42.1,D,4,51,56,,,,,,,,,
SP,42.1,D,3,50,,,,,,,,,,
SP,42.1,D,2,52,,,,,,,,,,
SP,42.1,D,1,49,54,55,,,,,,,,
SP,42.1,C,6,35,,,,,,,,,,
SP,42.1,C,5,43,,,,,,,,,,
SP,42.1,C,4,42,39,45,,,,,,,,
SP,42.1,C,3,44,,,,,,,,,,
SP,42.1,C,2,36,,,,,,,,,,
SP,42.1,C,1,41,38,40,47,46,,,,,,
SP,42.1,B,6,28,32,,,,,,,,,
SP,42.1,B,5,23,24,33,,,,,,,,
SP,42.1,B,4,27,,,,,,,,,,
SP,42.1,B,3,25,30,,,,,,,,,
SP,42.1,B,2,26,,,,,,,,,,
SP,42.1,B,1,21,31,,,,,,,,,
SP,42.1,A,6,2,11,13,17,19,20,,,,,
SP,42.1,A,5,3,6,10,12,18,,,,,,
SP,42.1,A,4,4,7,15,,,,,,,,
SP,42.1,A,3,5,16,,,,,,,,,
SP,42.1,A,2,9,,,,,,,,,,
SP,42.1,A,1,8,14,,,,,,,,,
SP,42.2,D,6,35,41,43,44,40,,,,,,
SP,42.2,D,5,37,,,,,,,,,,
SP,42.2,D,4,39,,,,,,,,,,
SP,42.2,D,3,34,,,,,,,,,,
SP,42.2,D,2,38,42,,,,,,,,,
SP,42.2,D,1,36,,,,,,,,,,
SP,42.2,C,6,24,30,,,,,,,,,
SP,42.2,C,5,26,,,,,,,,,,
SP,42.2,C,4,28,27,,,,,,,,,
SP,42.2,C,3,31,,,,,,,,,,
SP,42.2,C,2,29,33,,,,,,,,,
