id,Plate,Plate Rep,Genotype,Salt,Microbes,Row,Column,lon,lat,conc_corrected,BZT_percent_d,X10.FN,od600,od750,BZTalanine,glycosylatedBZT,BZTacetylalanine,aniline,amino_3_phenol,phenazine,methylBZT,methoxyBZT,km,density
24.1.C1,24,1,LnH,0,Yes,C,1,81.305495,44.900322,0.0979311731,90.2068826892,1,0.0435,0.0415,0,8.70E-013,1.55E-012,1.04E-011,0,6.34E-012,0,4.42E-012,206.7424140098,980.5629265144
24.1.C4,24,1,HBE,0,Yes,C,4,79.477222,43.620278,0.0910057593,90.8994240746,3,0.075,0.0665,6.77E-012,7.65E-012,0,1.53E-011,8.44E-012,0,0,3.86E-012,8.414886774,6771.2156320371
24.1.C5,24,1,Brk,0,Yes,C,5,78.978165,44.120014,0.0607938755,93.9206124483,3,0.0425,0.0425,0,3.17E-012,0,1.45E-011,0,0,0,0,61.2891573434,1777.9150539131
24.2.A1,24,2,LnH,0.8,Yes,A,1,81.305495,44.900322,0.0233106545,97.6689345464,2,0.0495,0.044,0,0,2.31E-012,1.96E-011,0,0,0,1.21E-012,206.7424140098,980.5629265144
24.2.A4,24,2,HBE,0.8,Yes,A,4,79.477222,43.620278,0.0624724415,93.7527558497,5,0.042,0.041,0,6.48E-012,0,5.52E-012,0,0,0,2.90E-012,8.414886774,6771.2156320371
24.2.A5,24,2,Brk,0.8,Yes,A,5,78.978165,44.120014,0.0418614693,95.8138530708,6,0.051,0.0465,0,5.46E-012,0,1.17E-011,0,0,0,0,61.2891573434,1777.9150539131
24.2.B1,24,2,LnH,0.8,No,B,1,81.305495,44.900322,0.0169237826,98.3076217423,2,0.1395,0.108,8.33E-012,0,0,2.19E-011,0,0,0,8.72E-013,206.7424140098,980.5629265144
24.2.B4,24,2,HBE,0.8,No,B,4,79.477222,43.620278,0.1096607129,89.0339287128,0,0.199,0.1595,1.15E-010,0,1.33E-012,1.30E-011,0,0,0,2.78E-012,8.414886774,6771.2156320371
24.2.B5,24,2,Brk,0.8,No,B,5,78.978165,44.120014,0.0963814575,90.3618542508,4,0.046,0.0425,1.11E-011,6.70E-012,0,8.82E-012,0,0,0,5.04E-013,61.2891573434,1777.9150539131
26.1.A4,26,1,Mdv,0,No,A,4,79.7357,43.6211,0.0648271136,93.5172886367,3,0.0545,0.0635,0,0,0,5.89E-012,0,0,7.85E-012,0,28.6229455005,8397.5387875238
